Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000563,ENSRNOG00000019132,1
ENSRNOG00000000563,ENSRNOG00000031325,1
ENSRNOG00000000563,ENSRNOG00000054497,1
ENSRNOG00000000571,ENSRNOG00000004760,1
ENSRNOG00000000571,ENSRNOG00000010379,1
ENSRNOG00000000576,ENSRNOG00000017401,1
ENSRNOG00000000576,ENSRNOG00000046021,1
ENSRNOG00000000579,ENSRNOG00000004760,1
ENSRNOG00000000579,ENSRNOG00000008668,1
ENSRNOG00000000579,ENSRNOG00000008678,1
ENSRNOG00000000579,ENSRNOG00000011044,1
ENSRNOG00000000579,ENSRNOG00000016684,1
ENSRNOG00000000579,ENSRNOG00000033527,1
ENSRNOG00000000579,ENSRNOG00000047924,1
ENSRNOG00000000580,ENSRNOG00000010989,1
ENSRNOG00000000581,ENSRNOG00000046002,1
ENSRNOG00000000587,ENSRNOG00000012054,1
ENSRNOG00000000588,ENSRNOG00000007224,1
ENSRNOG00000000588,ENSRNOG00000026211,1
ENSRNOG00000000588,ENSRNOG00000032048,1
ENSRNOG00000000588,ENSRNOG00000059224,1
ENSRNOG00000000606,ENSRNOG00000015242,1
ENSRNOG00000000606,ENSRNOG00000018404,1
ENSRNOG00000000609,ENSRNOG00000004760,1
ENSRNOG00000000609,ENSRNOG00000039725,1
ENSRNOG00000000610,ENSRNOG00000004760,1
ENSRNOG00000000610,ENSRNOG00000008678,1
ENSRNOG00000000610,ENSRNOG00000011416,1
ENSRNOG00000000610,ENSRNOG00000014928,1
ENSRNOG00000000611,ENSRNOG00000001479,1
ENSRNOG00000000611,ENSRNOG00000010649,1
ENSRNOG00000000611,ENSRNOG00000019453,1
ENSRNOG00000000611,ENSRNOG00000053468,1
ENSRNOG00000000611,ENSRNOG00000056184,1
ENSRNOG00000000613,ENSRNOG00000009437,1
ENSRNOG00000000613,ENSRNOG00000013907,1
ENSRNOG00000000614,ENSRNOG00000000433,1
ENSRNOG00000000614,ENSRNOG00000001256,1
ENSRNOG00000000614,ENSRNOG00000003776,1
ENSRNOG00000000614,ENSRNOG00000004327,1
ENSRNOG00000000614,ENSRNOG00000004760,1
ENSRNOG00000000614,ENSRNOG00000006019,1
ENSRNOG00000000614,ENSRNOG00000010551,1
ENSRNOG00000000614,ENSRNOG00000010791,1
ENSRNOG00000000614,ENSRNOG00000011316,1
ENSRNOG00000000614,ENSRNOG00000012295,1
ENSRNOG00000000614,ENSRNOG00000014610,1
ENSRNOG00000000614,ENSRNOG00000014777,1
ENSRNOG00000000614,ENSRNOG00000017553,1
ENSRNOG00000000614,ENSRNOG00000018183,1
ENSRNOG00000000614,ENSRNOG00000018350,1
ENSRNOG00000000614,ENSRNOG00000024345,1
ENSRNOG00000000614,ENSRNOG00000027014,1
ENSRNOG00000000614,ENSRNOG00000027891,1
ENSRNOG00000000614,ENSRNOG00000031979,1
ENSRNOG00000000614,ENSRNOG00000037207,1
ENSRNOG00000000614,ENSRNOG00000038722,1
ENSRNOG00000000614,ENSRNOG00000045941,1
ENSRNOG00000000614,ENSRNOG00000049683,1
ENSRNOG00000000614,ENSRNOG00000054508,1
ENSRNOG00000000614,ENSRNOG00000055382,1
ENSRNOG00000000614,ENSRNOG00000060530,1
ENSRNOG00000000614,ENSRNOG00000061147,1
ENSRNOG00000000614,ENSRNOG00000064852,1
ENSRNOG00000000614,ENSRNOG00000070919,1
ENSRNOG00000000632,ENSRNOG00000000408,1
ENSRNOG00000000632,ENSRNOG00000001520,1
ENSRNOG00000000632,ENSRNOG00000001548,1
ENSRNOG00000000632,ENSRNOG00000002265,1
ENSRNOG00000000632,ENSRNOG00000004760,1
ENSRNOG00000000632,ENSRNOG00000005642,1
ENSRNOG00000000632,ENSRNOG00000007141,1
ENSRNOG00000000632,ENSRNOG00000007483,1
ENSRNOG00000000632,ENSRNOG00000008668,1
ENSRNOG00000000632,ENSRNOG00000009653,1
ENSRNOG00000000632,ENSRNOG00000010235,1
ENSRNOG00000000632,ENSRNOG00000010448,1
ENSRNOG00000000632,ENSRNOG00000010917,1
ENSRNOG00000000632,ENSRNOG00000010981,1
