Rt_GeneID_curateA,Rt_GeneID_curateB,assays
ENSRNOG00000000150,ENSRNOG00000001572,2
ENSRNOG00000000151,ENSRNOG00000000461,1
ENSRNOG00000000151,ENSRNOG00000004726,1
ENSRNOG00000000151,ENSRNOG00000014758,1
ENSRNOG00000000151,ENSRNOG00000064951,2
ENSRNOG00000000155,ENSRNOG00000013795,1
ENSRNOG00000000155,ENSRNOG00000056537,1
ENSRNOG00000000157,ENSRNOG00000000097,1
ENSRNOG00000000157,ENSRNOG00000003150,1
ENSRNOG00000000157,ENSRNOG00000012205,1
ENSRNOG00000000157,ENSRNOG00000020797,1
ENSRNOG00000000157,ENSRNOG00000048462,2
ENSRNOG00000000161,ENSRNOG00000001204,1
ENSRNOG00000000161,ENSRNOG00000003975,1
ENSRNOG00000000161,ENSRNOG00000006816,1
ENSRNOG00000000161,ENSRNOG00000008374,1
ENSRNOG00000000161,ENSRNOG00000009722,1
ENSRNOG00000000161,ENSRNOG00000009965,1
ENSRNOG00000000161,ENSRNOG00000010593,1
ENSRNOG00000000161,ENSRNOG00000020009,1
ENSRNOG00000000161,ENSRNOG00000029971,1
ENSRNOG00000000161,ENSRNOG00000031766,1
ENSRNOG00000000161,ENSRNOG00000051680,1
ENSRNOG00000000161,ENSRNOG00000070092,1
ENSRNOG00000000164,ENSRNOG00000001217,1
ENSRNOG00000000164,ENSRNOG00000002941,2
ENSRNOG00000000164,ENSRNOG00000004925,1
ENSRNOG00000000164,ENSRNOG00000012455,1
ENSRNOG00000000164,ENSRNOG00000014096,1
ENSRNOG00000000164,ENSRNOG00000020167,1
ENSRNOG00000000164,ENSRNOG00000031979,1
ENSRNOG00000000164,ENSRNOG00000054286,1
ENSRNOG00000000164,ENSRNOG00000060229,1
ENSRNOG00000000165,ENSRNOG00000000041,1
ENSRNOG00000000165,ENSRNOG00000006966,1
ENSRNOG00000000165,ENSRNOG00000012734,1
ENSRNOG00000000165,ENSRNOG00000012899,1
ENSRNOG00000000165,ENSRNOG00000014522,1
ENSRNOG00000000165,ENSRNOG00000016638,1
ENSRNOG00000000165,ENSRNOG00000016704,1
ENSRNOG00000000165,ENSRNOG00000021412,1
ENSRNOG00000000165,ENSRNOG00000021463,1
ENSRNOG00000000165,ENSRNOG00000025174,1
ENSRNOG00000000165,ENSRNOG00000039876,1
ENSRNOG00000000165,ENSRNOG00000046502,1
ENSRNOG00000000165,ENSRNOG00000047287,1
ENSRNOG00000000165,ENSRNOG00000056009,1
ENSRNOG00000000165,ENSRNOG00000056678,1
ENSRNOG00000000166,ENSRNOG00000020351,1
ENSRNOG00000000166,ENSRNOG00000057078,1
ENSRNOG00000000168,ENSRNOG00000014658,1
ENSRNOG00000000168,ENSRNOG00000023152,1
ENSRNOG00000000168,ENSRNOG00000053086,1
ENSRNOG00000000169,ENSRNOG00000046981,1
ENSRNOG00000000169,ENSRNOG00000047427,1
ENSRNOG00000000175,ENSRNOG00000002636,1
ENSRNOG00000000175,ENSRNOG00000006403,1
ENSRNOG00000000175,ENSRNOG00000006583,1
ENSRNOG00000000175,ENSRNOG00000029971,1
ENSRNOG00000000184,ENSRNOG00000009166,1
ENSRNOG00000000185,ENSRNOG00000009275,1
ENSRNOG00000000185,ENSRNOG00000011435,1
ENSRNOG00000000185,ENSRNOG00000011566,2
ENSRNOG00000000185,ENSRNOG00000011854,1
ENSRNOG00000000185,ENSRNOG00000014999,1
ENSRNOG00000000185,ENSRNOG00000015301,1
ENSRNOG00000000185,ENSRNOG00000016203,1
ENSRNOG00000000185,ENSRNOG00000018582,1
ENSRNOG00000000185,ENSRNOG00000032575,1
ENSRNOG00000000185,ENSRNOG00000055340,1
ENSRNOG00000000187,ENSRNOG00000002812,1
ENSRNOG00000000187,ENSRNOG00000011132,1
ENSRNOG00000000187,ENSRNOG00000015987,1
ENSRNOG00000000187,ENSRNOG00000019557,1
ENSRNOG00000000187,ENSRNOG00000051563,1
ENSRNOG00000000187,ENSRNOG00000061080,1
ENSRNOG00000000195,ENSRNOG00000003407,1
ENSRNOG00000000195,ENSRNOG00000054437,1
ENSRNOG00000000196,ENSRNOG00000005392,1
ENSRNOG00000000196,ENSRNOG00000029682,2
ENSRNOG00000000196,ENSRNOG00000067943,1
ENSRNOG00000000219,ENSRNOG00000001352,1
ENSRNOG00000000219,ENSRNOG00000028636,1
ENSRNOG00000000230,ENSRNOG00000062541,1
ENSRNOG00000000231,ENSRNOG00000006932,1
ENSRNOG00000000231,ENSRNOG00000013429,1
ENSRNOG00000000231,ENSRNOG00000013790,1
ENSRNOG00000000231,ENSRNOG00000014999,1
ENSRNOG00000000231,ENSRNOG00000018904,1
ENSRNOG00000000231,ENSRNOG00000021338,1
ENSRNOG00000000231,ENSRNOG00000028658,1
ENSRNOG00000000231,ENSRNOG00000043212,1
ENSRNOG00000000231,ENSRNOG00000058790,2
ENSRNOG00000000237,ENSRNOG00000015320,1
ENSRNOG00000000237,ENSRNOG00000018430,1
ENSRNOG00000000237,ENSRNOG00000050087,1
ENSRNOG00000000237,ENSRNOG00000064722,1
ENSRNOG00000000244,ENSRNOG00000015852,1
ENSRNOG00000000244,ENSRNOG00000030644,1
ENSRNOG00000000245,ENSRNOG00000016120,1
ENSRNOG00000000245,ENSRNOG00000046252,1
ENSRNOG00000000246,ENSRNOG00000003374,1
